AnnoA;GruppoNOME;SESSO;Imm;note
2017/2018;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;9799;
2017/2018;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;F;13963;
2017/2018;Psicologico                                                                                                                                                                                                                                               ;M;1869;
2017/2018;Psicologico                                                                                                                                                                                                                                               ;F;6722;
2017/2018;Economico                                                                                                                                                                                                                                                 ;M;24390;
2017/2018;Economico                                                                                                                                                                                                                                                 ;F;20001;
2017/2018;Giuridico                                                                                                                                                                                                                                                 ;M;8236;
2017/2018;Giuridico                                                                                                                                                                                                                                                 ;F;12723;
2017/2018;Scientifico                                                                                                                                                                                                                                               ;M;14341;
2017/2018;Scientifico                                                                                                                                                                                                                                               ;F;20414;
2017/2018;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;M;6134;
2017/2018;Informatica e Tecnologie ICT                                                                                                                                                                                                                              ;F;869;
2017/2018;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;M;5844;
2017/2018;Architettura e Ingegneria civile                                                                                                                                                                                                                          ;F;4604;
2017/2018;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;M;29368;
2017/2018;Ingegneria industriale e dell'informazione                                                                                                                                                                                                                ;F;8359;
2017/2018;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;M;4631;
2017/2018;Agrario-Forestale e Veterinario                                                                                                                                                                                                                           ;F;3956;
2017/2018;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;M;8270;
2017/2018;Medico-Sanitario e Farmaceutico                                                                                                                                                                                                                           ;F;20814;
2017/2018;Scienze motorie e sportive                                                                                                                                                                                                                                ;M;5900;
2017/2018;Scienze motorie e sportive                                                                                                                                                                                                                                ;F;2394;
2016/2017;Educazione e Formazione                                                                                                                                                                                                                                   ;M;980;
2016/2017;Educazione e Formazione                                                                                                                                                                                                                                   ;F;12162;
2016/2017;Arte e Design                                                                                                                                                                                                                                             ;M;3075;
2016/2017;Arte e Design                                                                                                                                                                                                                                             ;F;6988;
2016/2017;Letterario-Umanistico                                                                                                                                                                                                                                     ;M;4696;
2016/2017;Letterario-Umanistico                                                                                                                                                                                                                                     ;F;7514;
2016/2017;Linguistico                                                                                                                                                                                                                                               ;M;3878;
2016/2017;Linguistico                                                                                                                                                                                                                                               ;F;17516;
2016/2017;Politico-Sociale e Comunicazione                                                                                                                                                                                                                          ;M;9823;
