_id,AnnoA,SedeR,ResidenzaR,GruppoNOME,Isc
4611,2011/2012,FRIULI VENEZIA GIULIA,EMILIA ROMAGNA,Psicologico,12
4612,2011/2012,FRIULI VENEZIA GIULIA,EMILIA ROMAGNA,Scientifico,19
4613,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Agrario-Forestale e Veterinario,762
4614,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Architettura e Ingegneria civile,2069
4615,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Arte e Design,644
4616,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Economico,3303
4617,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Educazione e Formazione,789
4618,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Giuridico,2317
4619,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Informatica e Tecnologie ICT,567
4620,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Ingegneria industriale e dell'informazione,2197
4621,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Letterario-Umanistico,1032
4622,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Linguistico,1449
4623,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Medico-Sanitario e Farmaceutico,3083
4624,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Politico-Sociale e Comunicazione,2401
4625,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Psicologico,632
4626,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Scientifico,1948
4627,2011/2012,FRIULI VENEZIA GIULIA,FRIULI VENEZIA GIULIA,Scienze motorie e sportive,249
4628,2011/2012,FRIULI VENEZIA GIULIA,LAZIO,Agrario-Forestale e Veterinario,7
4629,2011/2012,FRIULI VENEZIA GIULIA,LAZIO,Architettura e Ingegneria civile,5
4630,2011/2012,FRIULI VENEZIA GIULIA,LAZIO,Ingegneria industriale e dell'informazione,5
4631,2011/2012,FRIULI VENEZIA GIULIA,LAZIO,Linguistico,31
4632,2011/2012,FRIULI VENEZIA GIULIA,LAZIO,Politico-Sociale e Comunicazione,24
4633,2011/2012,FRIULI VENEZIA GIULIA,LAZIO,Scientifico,21
4634,2011/2012,FRIULI VENEZIA GIULIA,LIGURIA,Linguistico,18
4635,2011/2012,FRIULI VENEZIA GIULIA,LIGURIA,Medico-Sanitario e Farmaceutico,5
4636,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Agrario-Forestale e Veterinario,9
4637,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Architettura e Ingegneria civile,8
4638,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Arte e Design,10
4639,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Economico,9
4640,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Giuridico,6
4641,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Ingegneria industriale e dell'informazione,16
4642,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Linguistico,64
4643,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Medico-Sanitario e Farmaceutico,21
4644,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Politico-Sociale e Comunicazione,63
4645,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Psicologico,27
4646,2011/2012,FRIULI VENEZIA GIULIA,LOMBARDIA,Scientifico,36
4647,2011/2012,FRIULI VENEZIA GIULIA,MARCHE,Agrario-Forestale e Veterinario,6
4648,2011/2012,FRIULI VENEZIA GIULIA,MARCHE,Ingegneria industriale e dell'informazione,19
4649,2011/2012,FRIULI VENEZIA GIULIA,MARCHE,Linguistico,24
4650,2011/2012,FRIULI VENEZIA GIULIA,MARCHE,Medico-Sanitario e Farmaceutico,5
4651,2011/2012,FRIULI VENEZIA GIULIA,MARCHE,Politico-Sociale e Comunicazione,11
4652,2011/2012,FRIULI VENEZIA GIULIA,MARCHE,Scientifico,14
4653,2011/2012,FRIULI VENEZIA GIULIA,PIEMONTE,Economico,5
4654,2011/2012,FRIULI VENEZIA GIULIA,PIEMONTE,Giuridico,5
4655,2011/2012,FRIULI VENEZIA GIULIA,PIEMONTE,Linguistico,39
4656,2011/2012,FRIULI VENEZIA GIULIA,PIEMONTE,Medico-Sanitario e Farmaceutico,9
4657,2011/2012,FRIULI VENEZIA GIULIA,PIEMONTE,Politico-Sociale e Comunicazione,16
4658,2011/2012,FRIULI VENEZIA GIULIA,PIEMONTE,Scientifico,7
4659,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di Bolzano,Agrario-Forestale e Veterinario,16
4660,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di Bolzano,Linguistico,27
4661,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di Bolzano,Medico-Sanitario e Farmaceutico,5
4662,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di Bolzano,Politico-Sociale e Comunicazione,8
4663,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di TRENTO,Agrario-Forestale e Veterinario,52
4664,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di TRENTO,Architettura e Ingegneria civile,7
4665,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di TRENTO,Arte e Design,5
4666,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di TRENTO,Linguistico,27
4667,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di TRENTO,Medico-Sanitario e Farmaceutico,27
4668,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di TRENTO,Politico-Sociale e Comunicazione,14
4669,2011/2012,FRIULI VENEZIA GIULIA,Provincia autonoma di TRENTO,Scientifico,19
4670,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Agrario-Forestale e Veterinario,11
4671,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Architettura e Ingegneria civile,9
4672,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Arte e Design,6
4673,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Economico,13
4674,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Educazione e Formazione,13
4675,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Giuridico,18
4676,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Informatica e Tecnologie ICT,5
4677,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Ingegneria industriale e dell'informazione,25
4678,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Letterario-Umanistico,6
4679,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Linguistico,70
4680,2011/2012,FRIULI VENEZIA GIULIA,PUGLIA,Medico-Sanitario e Farmaceutico,23
