_id,AnnoA,ClasseNUMERO,ClasseNOME,SESSO,Isc
307,2020/2021,L-19,Scienze dell'educazione e della formazione,M,5335
308,2020/2021,L-20,Scienze della comunicazione,F,29445
309,2020/2021,L-20,Scienze della comunicazione,M,16042
310,2020/2021,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",F,662
311,2020/2021,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",M,885
312,2020/2021,L-22,Scienze delle attivit motorie e sportive,F,13371
313,2020/2021,L-22,Scienze delle attivit motorie e sportive,M,33059
314,2020/2021,L-23,Scienze e tecniche dell'edilizia,F,1397
315,2020/2021,L-23,Scienze e tecniche dell'edilizia,M,2270
316,2020/2021,L-24,Scienze e tecniche psicologiche,F,38764
317,2020/2021,L-24,Scienze e tecniche psicologiche,M,11621
318,2020/2021,L-25,Scienze e tecnologie agrarie e forestali,F,3857
319,2020/2021,L-25,Scienze e tecnologie agrarie e forestali,M,9783
320,2020/2021,L-26,Scienze e tecnologie alimentari,F,5947
321,2020/2021,L-26,Scienze e tecnologie alimentari,M,5748
322,2020/2021,L-27,Scienze e tecnologie chimiche,F,5975
323,2020/2021,L-27,Scienze e tecnologie chimiche,M,6749
324,2020/2021,L-28,Scienze e tecnologie della navigazione,F,280
325,2020/2021,L-28,Scienze e tecnologie della navigazione,M,1107
326,2020/2021,L-29,Scienze e tecnologie farmaceutiche,F,5292
327,2020/2021,L-29,Scienze e tecnologie farmaceutiche,M,1704
328,2020/2021,L-30,Scienze e tecnologie fisiche,F,4187
329,2020/2021,L-30,Scienze e tecnologie fisiche,M,8310
330,2020/2021,L-31,Scienze e tecnologie informatiche,F,3879
331,2020/2021,L-31,Scienze e tecnologie informatiche,M,26330
332,2020/2021,L-32,Scienze e tecnologie per l'ambiente e la natura,F,5224
333,2020/2021,L-32,Scienze e tecnologie per l'ambiente e la natura,M,4623
334,2020/2021,L-33,Scienze economiche,F,17036
335,2020/2021,L-33,Scienze economiche,M,23893
336,2020/2021,L-34,Scienze geologiche,F,1088
337,2020/2021,L-34,Scienze geologiche,M,2118
338,2020/2021,L-35,Scienze matematiche,F,5201
339,2020/2021,L-35,Scienze matematiche,M,5450
340,2020/2021,L-36,Scienze politiche e delle relazioni internazionali,F,19662
341,2020/2021,L-36,Scienze politiche e delle relazioni internazionali,M,20936
342,2020/2021,L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",F,1449
343,2020/2021,L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",M,1028
344,2020/2021,L-38,Scienze zootecniche e tecnologie delle produzioni animali,F,3742
345,2020/2021,L-38,Scienze zootecniche e tecnologie delle produzioni animali,M,1313
346,2020/2021,L-39,Servizio sociale,F,13227
347,2020/2021,L-39,Servizio sociale,M,1354
348,2020/2021,L-40,Sociologia,F,7852
349,2020/2021,L-40,Sociologia,M,3049
350,2020/2021,L-41,Statistica,F,1861
351,2020/2021,L-41,Statistica,M,2815
352,2020/2021,L-42,Storia,F,3397
353,2020/2021,L-42,Storia,M,6094
354,2020/2021,L-43,Diagnostica per la conservazione dei beni culturali,F,429
355,2020/2021,L-43,Diagnostica per la conservazione dei beni culturali,M,95
356,2020/2021,LM/DS,Scienze della difesa e della sicurezza,F,164
357,2020/2021,LM/DS,Scienze della difesa e della sicurezza,M,663
358,2020/2021,LM/GASTR,Scienze economiche  e sociali della gastronomia,F,61
359,2020/2021,LM/GASTR,Scienze economiche  e sociali della gastronomia,M,56
360,2020/2021,LM/SC-GIUR,Scienze Giuridiche,F,369
361,2020/2021,LM/SC-GIUR,Scienze Giuridiche,M,164
362,2020/2021,LM/SNT1,Scienze infermieristiche e ostetriche,F,2444
363,2020/2021,LM/SNT1,Scienze infermieristiche e ostetriche,M,975
364,2020/2021,LM/SNT2,Scienze riabilitative delle professioni sanitarie,F,944
365,2020/2021,LM/SNT2,Scienze riabilitative delle professioni sanitarie,M,308
366,2020/2021,LM/SNT3,Scienze delle professioni sanitarie tecniche,F,523
367,2020/2021,LM/SNT3,Scienze delle professioni sanitarie tecniche,M,375
368,2020/2021,LM/SNT4,Scienze delle professioni sanitarie della prevenzione,F,251
369,2020/2021,LM/SNT4,Scienze delle professioni sanitarie della prevenzione,M,252
370,2020/2021,LM-01,Antropologia culturale ed etnologia,F,1225
371,2020/2021,LM-01,Antropologia culturale ed etnologia,M,514
372,2020/2021,LM-02,Archeologia,F,1677
373,2020/2021,LM-02,Archeologia,M,868
374,2020/2021,LM-03,Architettura del paesaggio,F,393
375,2020/2021,LM-03,Architettura del paesaggio,M,223
376,2020/2021,LM-04,Architettura e ingegneria edile-architettura,F,4627
377,2020/2021,LM-04,Architettura e ingegneria edile-architettura,M,3258
378,2020/2021,LM-04cu,Architettura e ingegneria edile-architettura (quinquennale),F,9472
379,2020/2021,LM-04cu,Architettura e ingegneria edile-architettura (quinquennale),M,6717
380,2020/2021,LM-05,Archivistica e biblioteconomia,F,362
381,2020/2021,LM-05,Archivistica e biblioteconomia,M,108
382,2020/2021,LM-06,Biologia,F,7607
383,2020/2021,LM-06,Biologia,M,2895
384,2020/2021,LM-07,Biotecnologie agrarie,F,427
385,2020/2021,LM-07,Biotecnologie agrarie,M,341
386,2020/2021,LM-08,Biotecnologie industriali,F,1027
387,2020/2021,LM-08,Biotecnologie industriali,M,786
388,2020/2021,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",F,3955
389,2020/2021,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",M,1507
390,2020/2021,LM-10,Conservazione dei beni architettonici e ambientali,M,1
391,2020/2021,LM-11,Scienze per la conservazione dei beni culturali,F,233
392,2020/2021,LM-11,Scienze per la conservazione dei beni culturali,M,62
393,2020/2021,LM-12,Design,F,2291
394,2020/2021,LM-12,Design,M,1330
395,2020/2021,LM-13,Farmacia e farmacia industriale,F,27190
396,2020/2021,LM-13,Farmacia e farmacia industriale,M,9548
397,2020/2021,LM-14,Filologia moderna,F,9023
398,2020/2021,LM-14,Filologia moderna,M,2812
399,2020/2021,LM-15,"Filologia, letterature e storia dell'antichit",F,1266
400,2020/2021,LM-15,"Filologia, letterature e storia dell'antichit",M,577
401,2020/2021,LM-16,Finanza,F,973
402,2020/2021,LM-16,Finanza,M,2111
403,2020/2021,LM-17,Fisica,F,1161
404,2020/2021,LM-17,Fisica,M,3110
405,2020/2021,LM-18,Informatica,F,777
406,2020/2021,LM-18,Informatica,M,4033
407,2020/2021,LM-19,Informazione e sistemi editoriali,F,1779
408,2020/2021,LM-19,Informazione e sistemi editoriali,M,709
409,2020/2021,LM-20,Ingegneria aerospaziale e astronautica,F,763
410,2020/2021,LM-20,Ingegneria aerospaziale e astronautica,M,3419
411,2020/2021,LM-21,Ingegneria biomedica,F,3201
412,2020/2021,LM-21,Ingegneria biomedica,M,2145
413,2020/2021,LM-22,Ingegneria chimica,F,1349
414,2020/2021,LM-22,Ingegneria chimica,M,1566
415,2020/2021,LM-23,Ingegneria civile,F,2122
416,2020/2021,LM-23,Ingegneria civile,M,5312
417,2020/2021,LM-24,Ingegneria dei sistemi edilizi,F,1073
418,2020/2021,LM-24,Ingegneria dei sistemi edilizi,M,1345
419,2020/2021,LM-25,Ingegneria dell'automazione,F,489
420,2020/2021,LM-25,Ingegneria dell'automazione,M,2539
421,2020/2021,LM-26,Ingegneria della sicurezza,F,508
422,2020/2021,LM-26,Ingegneria della sicurezza,M,1936
423,2020/2021,LM-27,Ingegneria delle telecomunicazioni,F,561
424,2020/2021,LM-27,Ingegneria delle telecomunicazioni,M,1564
425,2020/2021,LM-28,Ingegneria elettrica,F,288
426,2020/2021,LM-28,Ingegneria elettrica,M,1696
