_id,AnnoA,ClasseNUMERO,ClasseNOME,SESSO,Isc
3783,2014/2015,67/S,Specialistiche in scienze della comunicazione sociale e istituzionale,M,13
3784,2014/2015,68/S,Specialistiche in scienze della natura,F,13
3785,2014/2015,68/S,Specialistiche in scienze della natura,M,2
3786,2014/2015,69/S,Specialistiche in scienze della nutrizione umana,F,11
3787,2014/2015,69/S,Specialistiche in scienze della nutrizione umana,M,5
3788,2014/2015,70/S,Specialistiche in scienze della politica,F,42
3789,2014/2015,70/S,Specialistiche in scienze della politica,M,36
3790,2014/2015,71/S,Specialistiche in scienze delle pubbliche amministrazioni,F,42
3791,2014/2015,71/S,Specialistiche in scienze delle pubbliche amministrazioni,M,45
3792,2014/2015,72/S,Specialistiche in scienze delle religioni,F,12
3793,2014/2015,72/S,Specialistiche in scienze delle religioni,M,7
3794,2014/2015,73/S,Specialistiche in scienze dello spettacolo e della produzione multimediale,F,29
3795,2014/2015,73/S,Specialistiche in scienze dello spettacolo e della produzione multimediale,M,16
3796,2014/2015,74/S,Specialistiche in scienze e gestione delle risorse rurali e forestali,F,2
3797,2014/2015,74/S,Specialistiche in scienze e gestione delle risorse rurali e forestali,M,7
3798,2014/2015,75/S,Specialistiche in scienze e tecnica dello sport,F,8
3799,2014/2015,75/S,Specialistiche in scienze e tecnica dello sport,M,21
3800,2014/2015,76/S,Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative,F,27
3801,2014/2015,76/S,Specialistiche in scienze e tecniche delle attivita motorie preventive e adattative,M,20
3802,2014/2015,77/S,Specialistiche in scienze e tecnologie agrarie,F,10
3803,2014/2015,77/S,Specialistiche in scienze e tecnologie agrarie,M,16
3804,2014/2015,78/S,Specialistiche in scienze e tecnologie agroalimentari,F,8
3805,2014/2015,78/S,Specialistiche in scienze e tecnologie agroalimentari,M,7
3806,2014/2015,79/S,Specialistiche in scienze e tecnologie agrozootecniche,F,5
3807,2014/2015,79/S,Specialistiche in scienze e tecnologie agrozootecniche,M,6
3808,2014/2015,81/S,Specialistiche in scienze e tecnologie della chimica industriale,F,2
3809,2014/2015,81/S,Specialistiche in scienze e tecnologie della chimica industriale,M,7
3810,2014/2015,82/S,Specialistiche in scienze e tecnologie per l'ambiente e il territorio,F,10
3811,2014/2015,82/S,Specialistiche in scienze e tecnologie per l'ambiente e il territorio,M,8
3812,2014/2015,83/S,Specialistiche in scienze economiche per l'ambiente e la cultura,F,10
3813,2014/2015,83/S,Specialistiche in scienze economiche per l'ambiente e la cultura,M,5
3814,2014/2015,84/S,Specialistiche in scienze economico-aziendali,F,345
3815,2014/2015,84/S,Specialistiche in scienze economico-aziendali,M,287
3816,2014/2015,85/S,Specialistiche in scienze geofisiche,F,1
3817,2014/2015,85/S,Specialistiche in scienze geofisiche,M,4
3818,2014/2015,86/S,Specialistiche in scienze geologiche,F,17
3819,2014/2015,86/S,Specialistiche in scienze geologiche,M,13
3820,2014/2015,87/S,Specialistiche in scienze pedagogiche,F,96
3821,2014/2015,87/S,Specialistiche in scienze pedagogiche,M,14
3822,2014/2015,88/S,Specialistiche in scienze per la cooperazione allo sviluppo,F,21
3823,2014/2015,88/S,Specialistiche in scienze per la cooperazione allo sviluppo,M,10
3824,2014/2015,89/S,Specialistiche in sociologia,F,51
3825,2014/2015,89/S,Specialistiche in sociologia,M,34
3826,2014/2015,90/S,Specialistiche in statistica demografica e sociale,F,4
3827,2014/2015,90/S,Specialistiche in statistica demografica e sociale,M,1
3828,2014/2015,91/S,"Specialistiche in statistica economica, finanziaria ed attuariale",F,12
3829,2014/2015,91/S,"Specialistiche in statistica economica, finanziaria ed attuariale",M,13
3830,2014/2015,92/S,Specialistiche in statistica per la ricerca sperimentale,F,1
3831,2014/2015,92/S,Specialistiche in statistica per la ricerca sperimentale,M,10
3832,2014/2015,93/S,Specialistiche in storia antica,F,2
3833,2014/2015,93/S,Specialistiche in storia antica,M,2
3834,2014/2015,94/S,Specialistiche in storia contemporanea,F,14
3835,2014/2015,94/S,Specialistiche in storia contemporanea,M,26
3836,2014/2015,95/S,Specialistiche in storia dell'arte,F,120
3837,2014/2015,95/S,Specialistiche in storia dell'arte,M,24
3838,2014/2015,96/S,Specialistiche in storia della filosofia,F,26
3839,2014/2015,96/S,Specialistiche in storia della filosofia,M,17
3840,2014/2015,97/S,Specialistiche in storia medievale,F,7
3841,2014/2015,97/S,Specialistiche in storia medievale,M,15
3842,2014/2015,98/S,Specialistiche in storia moderna,F,11
3843,2014/2015,98/S,Specialistiche in storia moderna,M,13
3844,2014/2015,99/S,Specialistiche in studi europei,F,17
3845,2014/2015,99/S,Specialistiche in studi europei,M,10
3846,2014/2015,99999,Classe non definita,F,19576
3847,2014/2015,99999,Classe non definita,M,12719
3848,2014/2015,DS1,Scienze della difesa e della sicurezza,F,257
3849,2014/2015,DS1,Scienze della difesa e della sicurezza,M,964
3850,2014/2015,DS1/S,Specialistiche nelle scienze della difesa e della sicurezza,F,101
3851,2014/2015,DS1/S,Specialistiche nelle scienze della difesa e della sicurezza,M,582
3852,2014/2015,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",F,36339
3853,2014/2015,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",M,14609
3854,2014/2015,L/SNT2,Professioni sanitarie della riabilitazione,F,8883
3855,2014/2015,L/SNT2,Professioni sanitarie della riabilitazione,M,5239
3856,2014/2015,L/SNT3,Professioni sanitarie tecniche,F,6690
3857,2014/2015,L/SNT3,Professioni sanitarie tecniche,M,4501
3858,2014/2015,L/SNT4,Professioni sanitarie della prevenzione,F,1435
3859,2014/2015,L/SNT4,Professioni sanitarie della prevenzione,M,1333
3860,2014/2015,L-01,Beni culturali,F,14121
3861,2014/2015,L-01,Beni culturali,M,4566
3862,2014/2015,L-02,Biotecnologie,F,6749
3863,2014/2015,L-02,Biotecnologie,M,3929
3864,2014/2015,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",F,6019
3865,2014/2015,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",M,3319
3866,2014/2015,L-04,Disegno industriale,F,4569
3867,2014/2015,L-04,Disegno industriale,M,3281
3868,2014/2015,L-05,Filosofia,F,5486
3869,2014/2015,L-05,Filosofia,M,5483
3870,2014/2015,L-06,Geografia,F,265
3871,2014/2015,L-06,Geografia,M,324
3872,2014/2015,L-07,Ingegneria civile e ambientale,F,8008
3873,2014/2015,L-07,Ingegneria civile e ambientale,M,18855
3874,2014/2015,L-08,Ingegneria dell'informazione,F,9138
3875,2014/2015,L-08,Ingegneria dell'informazione,M,35268
3876,2014/2015,L-09,Ingegneria industriale,F,14324
3877,2014/2015,L-09,Ingegneria industriale,M,53765
3878,2014/2015,L-10,Lettere,F,21457
3879,2014/2015,L-10,Lettere,M,8415
3880,2014/2015,L-11,Lingue e culture moderne,F,36787
3881,2014/2015,L-11,Lingue e culture moderne,M,9332
3882,2014/2015,L-12,Mediazione linguistica,F,24282
3883,2014/2015,L-12,Mediazione linguistica,M,5430
3884,2014/2015,L-13,Scienze biologiche,F,17693
3885,2014/2015,L-13,Scienze biologiche,M,6726
3886,2014/2015,L-14,Scienze dei servizi giuridici,F,10599
3887,2014/2015,L-14,Scienze dei servizi giuridici,M,8378
3888,2014/2015,L-15,Scienze del turismo,F,6603
3889,2014/2015,L-15,Scienze del turismo,M,2357
3890,2014/2015,L-16,Scienze dell'amministrazione e dell'organizzazione,F,5886
3891,2014/2015,L-16,Scienze dell'amministrazione e dell'organizzazione,M,5030
3892,2014/2015,L-17,Scienze dell'architettura,F,7133
3893,2014/2015,L-17,Scienze dell'architettura,M,6396
3894,2014/2015,L-18,Scienze dell'economia e della gestione aziendale,F,51504
3895,2014/2015,L-18,Scienze dell'economia e della gestione aziendale,M,61677
3896,2014/2015,L-19,Scienze dell'educazione e della formazione,F,39267
3897,2014/2015,L-19,Scienze dell'educazione e della formazione,M,3749
3898,2014/2015,L-20,Scienze della comunicazione,F,20183
3899,2014/2015,L-20,Scienze della comunicazione,M,11370
3900,2014/2015,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",F,915
3901,2014/2015,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",M,1439
3902,2014/2015,L-22,Scienze delle attivit motorie e sportive,F,7681
3903,2014/2015,L-22,Scienze delle attivit motorie e sportive,M,18060
3904,2014/2015,L-23,Scienze e tecniche dell'edilizia,F,2985
3905,2014/2015,L-23,Scienze e tecniche dell'edilizia,M,4493
3906,2014/2015,L-24,Scienze e tecniche psicologiche,F,29418
3907,2014/2015,L-24,Scienze e tecniche psicologiche,M,8908
3908,2014/2015,L-25,Scienze e tecnologie agrarie e forestali,F,4182
3909,2014/2015,L-25,Scienze e tecnologie agrarie e forestali,M,10117
3910,2014/2015,L-26,Scienze e tecnologie alimentari,F,6188
3911,2014/2015,L-26,Scienze e tecnologie alimentari,M,5005
3912,2014/2015,L-27,Scienze e tecnologie chimiche,F,4448
3913,2014/2015,L-27,Scienze e tecnologie chimiche,M,5754
3914,2014/2015,L-28,Scienze e tecnologie della navigazione,F,110
3915,2014/2015,L-28,Scienze e tecnologie della navigazione,M,585
3916,2014/2015,L-29,Scienze e tecnologie farmaceutiche,F,4632
3917,2014/2015,L-29,Scienze e tecnologie farmaceutiche,M,1438
3918,2014/2015,L-30,Scienze e tecnologie fisiche,F,3188
3919,2014/2015,L-30,Scienze e tecnologie fisiche,M,6445
3920,2014/2015,L-31,Scienze e tecnologie informatiche,F,2438
3921,2014/2015,L-31,Scienze e tecnologie informatiche,M,17367
3922,2014/2015,L-32,Scienze e tecnologie per l'ambiente e la natura,F,4060
3923,2014/2015,L-32,Scienze e tecnologie per l'ambiente e la natura,M,3759
3924,2014/2015,L-33,Scienze economiche,F,16352
3925,2014/2015,L-33,Scienze economiche,M,21214
3926,2014/2015,L-34,Scienze geologiche,F,1807
3927,2014/2015,L-34,Scienze geologiche,M,3252
3928,2014/2015,L-35,Scienze matematiche,F,3937
3929,2014/2015,L-35,Scienze matematiche,M,3557
3930,2014/2015,L-36,Scienze politiche e delle relazioni internazionali,F,16415
3931,2014/2015,L-36,Scienze politiche e delle relazioni internazionali,M,17470
3932,2014/2015,L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",F,1454
3933,2014/2015,L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",M,985
3934,2014/2015,L-38,Scienze zootecniche e tecnologie delle produzioni animali,F,3626
3935,2014/2015,L-38,Scienze zootecniche e tecnologie delle produzioni animali,M,1517
3936,2014/2015,L-39,Servizio sociale,F,13014
3937,2014/2015,L-39,Servizio sociale,M,1394
3938,2014/2015,L-40,Sociologia,F,6580
3939,2014/2015,L-40,Sociologia,M,2449
3940,2014/2015,L-41,Statistica,F,1446
3941,2014/2015,L-41,Statistica,M,1977
3942,2014/2015,L-42,Storia,F,2745
3943,2014/2015,L-42,Storia,M,4621
3944,2014/2015,L-43,Diagnostica per la conservazione dei beni culturali,F,703
3945,2014/2015,L-43,Diagnostica per la conservazione dei beni culturali,M,205
3946,2014/2015,LM/SNT1,Scienze infermieristiche e ostetriche,F,1602
3947,2014/2015,LM/SNT1,Scienze infermieristiche e ostetriche,M,605
3948,2014/2015,LM/SNT2,Scienze riabilitative delle professioni sanitarie,F,745
3949,2014/2015,LM/SNT2,Scienze riabilitative delle professioni sanitarie,M,233
3950,2014/2015,LM/SNT3,Scienze delle professioni sanitarie tecniche,F,534
3951,2014/2015,LM/SNT3,Scienze delle professioni sanitarie tecniche,M,362
3952,2014/2015,LM/SNT4,Scienze delle professioni sanitarie della prevenzione,F,221
3953,2014/2015,LM/SNT4,Scienze delle professioni sanitarie della prevenzione,M,228
3954,2014/2015,LM-01,Antropologia culturale ed etnologia,F,675
3955,2014/2015,LM-01,Antropologia culturale ed etnologia,M,329
3956,2014/2015,LM-02,Archeologia,F,1965
3957,2014/2015,LM-02,Archeologia,M,912
3958,2014/2015,LM-03,Architettura del paesaggio,F,281
3959,2014/2015,LM-03,Architettura del paesaggio,M,183
3960,2014/2015,LM-04,Architettura e ingegneria edile-architettura,F,5250
3961,2014/2015,LM-04,Architettura e ingegneria edile-architettura,M,4200
3962,2014/2015,LM-04cu,Architettura e ingegneria edile-architettura (quinquennale),F,12610
3963,2014/2015,LM-04cu,Architettura e ingegneria edile-architettura (quinquennale),M,10041
3964,2014/2015,LM-05,Archivistica e biblioteconomia,F,328
3965,2014/2015,LM-05,Archivistica e biblioteconomia,M,103
3966,2014/2015,LM-06,Biologia,F,7158
3967,2014/2015,LM-06,Biologia,M,2454
3968,2014/2015,LM-07,Biotecnologie agrarie,F,199
3969,2014/2015,LM-07,Biotecnologie agrarie,M,152
3970,2014/2015,LM-08,Biotecnologie industriali,F,505
3971,2014/2015,LM-08,Biotecnologie industriali,M,426
3972,2014/2015,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",F,2314
3973,2014/2015,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",M,885
3974,2014/2015,LM-10,Conservazione dei beni architettonici e ambientali,F,9
3975,2014/2015,LM-10,Conservazione dei beni architettonici e ambientali,M,6
3976,2014/2015,LM-11,Scienze per la conservazione dei beni culturali,F,209
3977,2014/2015,LM-11,Scienze per la conservazione dei beni culturali,M,53
3978,2014/2015,LM-12,Design,F,1520
3979,2014/2015,LM-12,Design,M,912
3980,2014/2015,LM-13,Farmacia e farmacia industriale,F,24771
3981,2014/2015,LM-13,Farmacia e farmacia industriale,M,9352
3982,2014/2015,LM-14,Filologia moderna,F,6711
3983,2014/2015,LM-14,Filologia moderna,M,1800
3984,2014/2015,LM-15,"Filologia, letterature e storia dell'antichit",F,1538
3985,2014/2015,LM-15,"Filologia, letterature e storia dell'antichit",M,482
3986,2014/2015,LM-16,Finanza,F,855
3987,2014/2015,LM-16,Finanza,M,1308
3988,2014/2015,LM-17,Fisica,F,885
3989,2014/2015,LM-17,Fisica,M,2147
3990,2014/2015,LM-18,Informatica,F,424
3991,2014/2015,LM-18,Informatica,M,2239
3992,2014/2015,LM-19,Informazione e sistemi editoriali,F,1848
3993,2014/2015,LM-19,Informazione e sistemi editoriali,M,776
3994,2014/2015,LM-20,Ingegneria aerospaziale e astronautica,F,382
3995,2014/2015,LM-20,Ingegneria aerospaziale e astronautica,M,2124
3996,2014/2015,LM-21,Ingegneria biomedica,F,1628
3997,2014/2015,LM-21,Ingegneria biomedica,M,1291
3998,2014/2015,LM-22,Ingegneria chimica,F,854
3999,2014/2015,LM-22,Ingegneria chimica,M,1293
4000,2014/2015,LM-23,Ingegneria civile,F,2473
4001,2014/2015,LM-23,Ingegneria civile,M,6395
4002,2014/2015,LM-24,Ingegneria dei sistemi edilizi,F,1159
4003,2014/2015,LM-24,Ingegneria dei sistemi edilizi,M,1644
4004,2014/2015,LM-25,Ingegneria dell'automazione,F,192
4005,2014/2015,LM-25,Ingegneria dell'automazione,M,1315
4006,2014/2015,LM-26,Ingegneria della sicurezza,F,76
4007,2014/2015,LM-26,Ingegneria della sicurezza,M,230
4008,2014/2015,LM-27,Ingegneria delle telecomunicazioni,F,356
4009,2014/2015,LM-27,Ingegneria delle telecomunicazioni,M,1480
4010,2014/2015,LM-28,Ingegneria elettrica,F,135
4011,2014/2015,LM-28,Ingegneria elettrica,M,1519
4012,2014/2015,LM-29,Ingegneria elettronica,F,458
4013,2014/2015,LM-29,Ingegneria elettronica,M,2510
4014,2014/2015,LM-30,Ingegneria energetica e nucleare,F,651
4015,2014/2015,LM-30,Ingegneria energetica e nucleare,M,2350
4016,2014/2015,LM-31,Ingegneria gestionale,F,2836
4017,2014/2015,LM-31,Ingegneria gestionale,M,4690
4018,2014/2015,LM-32,Ingegneria informatica,F,782
4019,2014/2015,LM-32,Ingegneria informatica,M,4872
4020,2014/2015,LM-33,Ingegneria meccanica,F,866
4021,2014/2015,LM-33,Ingegneria meccanica,M,8164
4022,2014/2015,LM-34,Ingegneria navale,F,112
4023,2014/2015,LM-34,Ingegneria navale,M,466
4024,2014/2015,LM-35,Ingegneria per l'ambiente e il territorio,F,1205
4025,2014/2015,LM-35,Ingegneria per l'ambiente e il territorio,M,1880
4026,2014/2015,LM-36,Lingue e letterature dell'Africa e dell'Asia,F,619
4027,2014/2015,LM-36,Lingue e letterature dell'Africa e dell'Asia,M,196
4028,2014/2015,LM-37,Lingue e letterature moderne europee e americane,F,5615
4029,2014/2015,LM-37,Lingue e letterature moderne europee e americane,M,793
4030,2014/2015,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,F,4433
4031,2014/2015,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,M,638
4032,2014/2015,LM-39,Linguistica,F,958
4033,2014/2015,LM-39,Linguistica,M,242
4034,2014/2015,LM-40,Matematica,F,1830
4035,2014/2015,LM-40,Matematica,M,1361
4036,2014/2015,LM-41,Medicina e chirurgia,F,38883
4037,2014/2015,LM-41,Medicina e chirurgia,M,32771
4038,2014/2015,LM-42,Medicina veterinaria,F,3753
4039,2014/2015,LM-42,Medicina veterinaria,M,1700
4040,2014/2015,LM-43,Metodologie informatiche per le discipline umanistiche,F,75
4041,2014/2015,LM-43,Metodologie informatiche per le discipline umanistiche,M,42
4042,2014/2015,LM-44,Modellistica matematico-fisica per l'ingegneria,F,196
4043,2014/2015,LM-44,Modellistica matematico-fisica per l'ingegneria,M,410
4044,2014/2015,LM-45,Musicologia e beni musicali,F,265
4045,2014/2015,LM-45,Musicologia e beni musicali,M,213
4046,2014/2015,LM-46,Odontoiatria e protesi dentaria,F,2454
4047,2014/2015,LM-46,Odontoiatria e protesi dentaria,M,2988
4048,2014/2015,LM-47,Organizzazione e gestione dei servizi per lo sport e le attivit motorie,F,122
4049,2014/2015,LM-47,Organizzazione e gestione dei servizi per lo sport e le attivit motorie,M,213
4050,2014/2015,LM-48,Pianificazione territoriale urbanistica e ambientale,F,448
4051,2014/2015,LM-48,Pianificazione territoriale urbanistica e ambientale,M,517
4052,2014/2015,LM-49,Progettazione e gestione dei sistemi turistici,F,1046
4053,2014/2015,LM-49,Progettazione e gestione dei sistemi turistici,M,330
4054,2014/2015,LM-50,Programmazione e gestione dei servizi educativi,F,1753
4055,2014/2015,LM-50,Programmazione e gestione dei servizi educativi,M,175
4056,2014/2015,LM-51,Psicologia,F,16620
4057,2014/2015,LM-51,Psicologia,M,3406
4058,2014/2015,LM-52,Relazioni internazionali,F,3370
4059,2014/2015,LM-52,Relazioni internazionali,M,2365
4060,2014/2015,LM-53,Scienza e ingegneria dei materiali,F,395
4061,2014/2015,LM-53,Scienza e ingegneria dei materiali,M,837
4062,2014/2015,LM-54,Scienze chimiche,F,1310
4063,2014/2015,LM-54,Scienze chimiche,M,1179
4064,2014/2015,LM-55,Scienze cognitive,F,331
4065,2014/2015,LM-55,Scienze cognitive,M,126
4066,2014/2015,LM-56,Scienze dell'economia,F,4213
4067,2014/2015,LM-56,Scienze dell'economia,M,4981
4068,2014/2015,LM-57,Scienze dell'educazione degli adulti e della formazione continua,F,1162
4069,2014/2015,LM-57,Scienze dell'educazione degli adulti e della formazione continua,M,147
4070,2014/2015,LM-58,Scienze dell'universo,F,99
4071,2014/2015,LM-58,Scienze dell'universo,M,145
4072,2014/2015,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicit",F,2797
4073,2014/2015,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicit",M,1151
4074,2014/2015,LM-60,Scienze della natura,F,351
4075,2014/2015,LM-60,Scienze della natura,M,290
4076,2014/2015,LM-61,Scienze della nutrizione umana,F,1535
4077,2014/2015,LM-61,Scienze della nutrizione umana,M,457
4078,2014/2015,LM-62,Scienze della politica,F,1282
4079,2014/2015,LM-62,Scienze della politica,M,1249
4080,2014/2015,LM-63,Scienze delle pubbliche amministrazioni,F,2009
4081,2014/2015,LM-63,Scienze delle pubbliche amministrazioni,M,1443
4082,2014/2015,LM-64,Scienze delle religioni,F,87
4083,2014/2015,LM-64,Scienze delle religioni,M,56
4084,2014/2015,LM-65,Scienze dello spettacolo e produzione multimediale,F,1460
4085,2014/2015,LM-65,Scienze dello spettacolo e produzione multimediale,M,739
4086,2014/2015,LM-66,Sicurezza informatica,F,6
4087,2014/2015,LM-66,Sicurezza informatica,M,42
4088,2014/2015,LM-67,Scienze e tecniche delle attivit motorie preventive e adattate,F,1381
4089,2014/2015,LM-67,Scienze e tecniche delle attivit motorie preventive e adattate,M,1660
4090,2014/2015,LM-68,Scienze e tecniche dello sport,F,530
4091,2014/2015,LM-68,Scienze e tecniche dello sport,M,1323
4092,2014/2015,LM-69,Scienze e tecnologie agrarie,F,538
4093,2014/2015,LM-69,Scienze e tecnologie agrarie,M,1337
4094,2014/2015,LM-70,Scienze e tecnologie alimentari,F,1034
4095,2014/2015,LM-70,Scienze e tecnologie alimentari,M,741
4096,2014/2015,LM-71,Scienze e tecnologie della chimica industriale,F,201
4097,2014/2015,LM-71,Scienze e tecnologie della chimica industriale,M,383
4098,2014/2015,LM-72,Scienze e tecnologie della navigazione,F,19
4099,2014/2015,LM-72,Scienze e tecnologie della navigazione,M,41
4100,2014/2015,LM-73,Scienze e tecnologie forestali ed ambientali,F,281
4101,2014/2015,LM-73,Scienze e tecnologie forestali ed ambientali,M,533
4102,2014/2015,LM-74,Scienze e tecnologie geologiche,F,683
4103,2014/2015,LM-74,Scienze e tecnologie geologiche,M,1278
4104,2014/2015,LM-75,Scienze e tecnologie per l'ambiente e il territorio,F,581
4105,2014/2015,LM-75,Scienze e tecnologie per l'ambiente e il territorio,M,555
4106,2014/2015,LM-76,Scienze economiche per l'ambiente e la cultura,F,684
4107,2014/2015,LM-76,Scienze economiche per l'ambiente e la cultura,M,189
4108,2014/2015,LM-77,Scienze economico-aziendali,F,19714
4109,2014/2015,LM-77,Scienze economico-aziendali,M,18875
4110,2014/2015,LM-78,Scienze filosofiche,F,2600
4111,2014/2015,LM-78,Scienze filosofiche,M,2057
4112,2014/2015,LM-79,Scienze geofisiche,F,49
4113,2014/2015,LM-79,Scienze geofisiche,M,58
4114,2014/2015,LM-80,Scienze geografiche,F,110
4115,2014/2015,LM-80,Scienze geografiche,M,137
4116,2014/2015,LM-81,Scienze per la cooperazione allo sviluppo,F,877
4117,2014/2015,LM-81,Scienze per la cooperazione allo sviluppo,M,441
4118,2014/2015,LM-82,Scienze statistiche,F,624
4119,2014/2015,LM-82,Scienze statistiche,M,616
4120,2014/2015,LM-83,Scienze statistiche attuariali e finanziarie,F,351
4121,2014/2015,LM-83,Scienze statistiche attuariali e finanziarie,M,452
4122,2014/2015,LM-84,Scienze storiche,F,1319
4123,2014/2015,LM-84,Scienze storiche,M,1891
4124,2014/2015,LM-85,Scienze pedagogiche,F,5559
4125,2014/2015,LM-85,Scienze pedagogiche,M,549
4126,2014/2015,LM-85 bis,Scienze della formazione primaria,F,15922
4127,2014/2015,LM-85 bis,Scienze della formazione primaria,M,847
4128,2014/2015,LM-86,Scienze zootecniche e tecnologie  animali,F,363
4129,2014/2015,LM-86,Scienze zootecniche e tecnologie  animali,M,213
4130,2014/2015,LM-87,Servizio sociale e politiche sociali,F,4013
4131,2014/2015,LM-87,Servizio sociale e politiche sociali,M,365
4132,2014/2015,LM-88,Sociologia e ricerca sociale,F,1706
4133,2014/2015,LM-88,Sociologia e ricerca sociale,M,685
4134,2014/2015,LM-89,Storia dell'arte,F,3753
4135,2014/2015,LM-89,Storia dell'arte,M,735
4136,2014/2015,LM-90,Studi europei,F,229
4137,2014/2015,LM-90,Studi europei,M,210
4138,2014/2015,LM-91,Tecniche e metodi per la societa dell'informazione,F,9
4139,2014/2015,LM-91,Tecniche e metodi per la societa dell'informazione,M,21
4140,2014/2015,LM-92,Teorie della comunicazione,F,946
4141,2014/2015,LM-92,Teorie della comunicazione,M,432
4142,2014/2015,LM-93,Teorie e metodologie dell'e-learning e della media education,F,70
4143,2014/2015,LM-93,Teorie e metodologie dell'e-learning e della media education,M,21
4144,2014/2015,LM-94,Traduzione specialistica e interpretariato,F,1784
4145,2014/2015,LM-94,Traduzione specialistica e interpretariato,M,301
4146,2014/2015,LMG/01,Magistrali in giurisprudenza,F,91491
4147,2014/2015,LMG/01,Magistrali in giurisprudenza,M,55742
4148,2014/2015,LMR/02,Conservazione e restauro dei beni culturali,F,343
4149,2014/2015,LMR/02,Conservazione e restauro dei beni culturali,M,55
4150,2014/2015,SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",F,1301
4151,2014/2015,SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",M,757
4152,2014/2015,SNT1/S,Specialistiche nelle scienze infermieristiche e ostetriche,F,38
4153,2014/2015,SNT1/S,Specialistiche nelle scienze infermieristiche e ostetriche,M,14
4154,2014/2015,SNT2,Professioni sanitarie della riabilitazione,F,353
4155,2014/2015,SNT2,Professioni sanitarie della riabilitazione,M,262
4156,2014/2015,SNT2/S,Specialistiche nelle scienze delle professioni sanitarie della riabilitazione,F,2
4157,2014/2015,SNT2/S,Specialistiche nelle scienze delle professioni sanitarie della riabilitazione,M,1
4158,2014/2015,SNT3,Professioni sanitarie tecniche,F,237
4159,2014/2015,SNT3,Professioni sanitarie tecniche,M,253
4160,2014/2015,SNT3/S,Specialistiche nelle scienze delle professioni sanitarie tecniche,F,6
4161,2014/2015,SNT3/S,Specialistiche nelle scienze delle professioni sanitarie tecniche,M,5
4162,2014/2015,SNT4,Professioni sanitarie della prevenzione,F,60
4163,2014/2015,SNT4,Professioni sanitarie della prevenzione,M,92
4164,2014/2015,SNT4/S,Specialistiche nelle scienze delle professioni sanitarie della prevenzione,F,1
4165,2014/2015,SNT4/S,Specialistiche nelle scienze delle professioni sanitarie della prevenzione,M,4
4166,2013/2014,1,Biotecnologie,F,906
4167,2013/2014,1,Biotecnologie,M,430
4168,2013/2014,01/S,Specialistiche in antropologia culturale ed etnologia,F,50
4169,2013/2014,01/S,Specialistiche in antropologia culturale ed etnologia,M,19
4170,2013/2014,2,Scienze dei servizi giuridici,F,1049
4171,2013/2014,2,Scienze dei servizi giuridici,M,768
4172,2013/2014,02/S,Specialistiche in archeologia,F,80
4173,2013/2014,02/S,Specialistiche in archeologia,M,39
4174,2013/2014,3,Scienze della mediazione linguistica,F,1940
4175,2013/2014,3,Scienze della mediazione linguistica,M,433
4176,2013/2014,03/S,Specialistiche in architettura del paesaggio,F,12
4177,2013/2014,03/S,Specialistiche in architettura del paesaggio,M,9
4178,2013/2014,4,Scienze dell'architettura e dell'ingegneria edile,F,1807
4179,2013/2014,4,Scienze dell'architettura e dell'ingegneria edile,M,2327
4180,2013/2014,04/S,Specialistiche in architettura e ingegneria edile,F,193
4181,2013/2014,04/S,Specialistiche in architettura e ingegneria edile,M,225
4182,2013/2014,04/S-cu,Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico,F,4866
4183,2013/2014,04/S-cu,Scienze dell'architettura e dell'ingegneria edile - Ciclo Unico,M,4340
4184,2013/2014,5,Lettere,F,3349
4185,2013/2014,5,Lettere,M,952
4186,2013/2014,05/S,Specialistiche in archivistica e biblioteconomia,F,27
4187,2013/2014,05/S,Specialistiche in archivistica e biblioteconomia,M,3
4188,2013/2014,6,Scienze del servizio sociale,F,1385
4189,2013/2014,6,Scienze del servizio sociale,M,138
4190,2013/2014,06/S,Specialistiche in biologia,F,139
4191,2013/2014,06/S,Specialistiche in biologia,M,72
4192,2013/2014,7,Urbanistica e scienze della pianificazione territoriale e ambientale,F,115
4193,2013/2014,7,Urbanistica e scienze della pianificazione territoriale e ambientale,M,392
4194,2013/2014,07/S,Specialistiche in biotecnologie agrarie,F,4
4195,2013/2014,07/S,Specialistiche in biotecnologie agrarie,M,5
