AnnoA;AteneoNOME;AteneoCOD;SESSO;Isc
2019/2020;Napoli L'Orientale;6303;M;2334
2019/2020;Napoli Parthenope;6302;F;4655
2019/2020;Napoli Parthenope;6302;M;6134
2019/2020;Napoli Pegaso - telematica;6307;F;23447
2019/2020;Napoli Pegaso - telematica;6307;M;30509
2019/2020;Napoli Vanvitelli;6306;F;13387
2019/2020;Napoli Vanvitelli;6306;M;9393
2019/2020;Novedrate e-Campus - telematica;1301;F;11488
2019/2020;Novedrate e-Campus - telematica;1301;M;10469
2019/2020;Padova;2801;F;31719
2019/2020;Padova;2801;M;28275
2019/2020;Palermo;8201;F;23699
2019/2020;Palermo;8201;M;16992
2019/2020;Parma;3401;F;15406
2019/2020;Parma;3401;M;11294
2019/2020;Pavia;1801;F;12995
2019/2020;Pavia;1801;M;10315
2019/2020;Perugia;5401;F;13586
2019/2020;Perugia;5401;M;9916
2019/2020;Perugia Stranieri;5403;F;714
2019/2020;Perugia Stranieri;5403;M;380
2019/2020;Piemonte Orientale;201;F;7951
2019/2020;Piemonte Orientale;201;M;5182
2019/2020;Pisa;5001;F;22737
2019/2020;Pisa;5001;M;21559
2019/2020;Reggio Calabria;8001;F;2535
2019/2020;Reggio Calabria;8001;M;2329
2019/2020;Reggio Calabria - Dante Alighieri;8003;F;563
2019/2020;Reggio Calabria - Dante Alighieri;8003;M;127
2019/2020;Roma  Mercatorum - telematica;5814;F;2028
2019/2020;Roma  Mercatorum - telematica;5814;M;4233
2019/2020;Roma Biomedico;5808;F;1232
2019/2020;Roma Biomedico;5808;M;786
2019/2020;Roma Europea;5812;F;1074
2019/2020;Roma Europea;5812;M;420
2019/2020;Roma Foro Italico;5806;F;567
2019/2020;Roma Foro Italico;5806;M;1519
2019/2020;Roma La Sapienza;5801;F;59576
2019/2020;Roma La Sapienza;5801;M;44076
2019/2020;Roma Link Campus;5817;F;269
2019/2020;Roma Link Campus;5817;M;646
2019/2020;Roma LUISS;5805;F;4313
2019/2020;Roma LUISS;5805;M;5155
2019/2020;Roma LUMSA;5803;F;4254
2019/2020;Roma LUMSA;5803;M;1891
2019/2020;Roma Marconi - telematica;5810;F;5261
2019/2020;Roma Marconi - telematica;5810;M;5002
2019/2020;Roma Saint Camillus;5818;F;362
2019/2020;Roma Saint Camillus;5818;M;195
2019/2020;Roma San Raffaele - telematica;5816;F;2933
2019/2020;Roma San Raffaele - telematica;5816;M;3774
2019/2020;Roma Tor Vergata;5802;F;14285
